YEAR,REVENUE_CATEGORY
2023,Corporation Tax
2023,Taxes on Income
2023,Wealth Tax
2023,Customs
2023,Union Excise Duties
2023,Service Tax
2023,CGST
2023,IGST
2023,GST Compensation Cess
2023,Taxes of Union Territories
2023,Interest receipts
2023,Dividends and Profits
2023,External Grants
2023,Other Non Tax Expense
2023,Receipts of Union Territories
2023,Recoveries of loans  and advances
2023,Disinvestment Receipts
2023,Debt Receipts
